Calendar_Year,Calendar_Month,Mode,Average_Daily_Ridership,Source,ObjectId
2019,10,Regional Rail,133614,Revenue,1
2019,10,Trackless Trolley,16645,Revenue,2
2019,10,Trolley,80063,APC,3
2019,11,Bus,490316,APC,4
2019,11,CCT,6145,Revenue,5
2019,11,Heavy Rail,322462,Revenue,6
2019,11,Regional Rail,130761,Revenue,7
2019,11,Trackless Trolley,16576,Revenue,8
2019,11,Trolley,80113,APC,9
2019,12,Bus,477194,APC,10
2019,12,CCT,4595,Revenue,11
2019,12,Heavy Rail,312677,Revenue,12
2019,12,Regional Rail,128363,Revenue,13
2019,12,Trackless Trolley,16051,Revenue,14
2019,12,Trolley,78034,APC,15
2020,1,Bus,493261,APC,16
2020,1,CCT,4414,Revenue,17
2020,1,Heavy Rail,311442,Revenue,18
2020,1,Regional Rail,129953,Revenue,19
2020,1,Trackless Trolley,11579,Revenue,20
2020,1,Trolley,79713,APC,21
2020,2,Bus,503967,APC,22
2020,2,CCT,5075,Revenue,23
2020,2,Heavy Rail,309414,Revenue,24
2020,2,Regional Rail,125397,Revenue,25
2020,2,Trackless Trolley,12017,Revenue,26
2020,2,Trolley,82076,APC,27
2020,3,Bus,414021,APC,28
2020,3,CCT,3885,Revenue,29
2020,3,Heavy Rail,191819,Revenue,30
2020,3,Regional Rail,60912,Revenue,31
2020,3,Trackless Trolley,12304,Revenue,32
2020,3,Trolley,58641,APC,33
2020,4,Bus,141411,APC,34
2020,4,CCT,694,Revenue,35
2020,4,Heavy Rail,44353,Revenue,36
2020,4,Regional Rail,5168,Revenue,37
2020,4,Trackless Trolley,324,Revenue,38
2020,4,Trolley,14870,APC,39
2020,5,Bus,165838,APC,40
2020,5,CCT,973,Revenue,41
2020,5,Heavy Rail,52913,Revenue,42
2020,5,Regional Rail,2016,Revenue,43
2020,5,Trackless Trolley,2197,Revenue,44
2020,5,Trolley,20611,APC,45
2020,6,Bus,192334,APC,46
2020,6,CCT,1056,Revenue,47
2020,6,Heavy Rail,66216,Revenue,48
2020,6,Regional Rail,8516,Revenue,49
2020,6,Trackless Trolley,5285,Revenue,50
2020,6,Trolley,27991,APC,51
2020,7,Bus,203766,APC,52
2020,7,CCT,1076,Revenue,53
2020,7,Heavy Rail,86270,Revenue,54
2020,7,Regional Rail,17381,Revenue,55
2020,7,Trackless Trolley,6419,Revenue,56
2020,7,Trolley,31135,APC,57
2019,1,Bus,459160,APC,58
2019,1,CCT,4294,Revenue,59
2019,1,Heavy Rail,296709,Revenue,60
2019,1,Regional Rail,122856,Revenue,61
2019,1,Trackless Trolley,16285,Revenue,62
2019,1,Trolley,82787,APC,63
2019,2,Bus,464674,APC,64
2019,2,CCT,4652,Revenue,65
2019,2,Heavy Rail,315858,Revenue,66
2019,2,Regional Rail,121161,Revenue,67
2019,2,Trackless Trolley,16476,Revenue,68
2019,2,Trolley,82787,APC,69
2019,3,Bus,478487,APC,70
2019,3,CCT,6027,Revenue,71
2019,3,Heavy Rail,308777,Revenue,72
2019,3,Regional Rail,118228,Revenue,73
2019,3,Trackless Trolley,16755,Revenue,74
2019,3,Trolley,82433,APC,75
2019,4,Bus,473732,APC,76
2019,4,CCT,4805,Revenue,77
2019,4,Heavy Rail,305491,Revenue,78
2019,4,Regional Rail,124045,Revenue,79
2019,4,Trackless Trolley,16458,Revenue,80
2019,4,Trolley,84864,APC,81
2019,5,Bus,480074,APC,82
2019,5,CCT,5655,Revenue,83
2019,5,Heavy Rail,303776,Revenue,84
2019,5,Regional Rail,119187,Revenue,85
2019,5,Trackless Trolley,16456,Revenue,86
2019,5,Trolley,83413,APC,87
2019,6,Bus,396720,APC,88
2019,6,CCT,4924,Revenue,89
2019,6,Heavy Rail,273813,Revenue,90
2019,6,Regional Rail,113745,Revenue,91
2019,6,Trackless Trolley,14104,Revenue,92
2019,6,Trolley,73295,APC,93
2019,7,Bus,401911,APC,94
2019,7,CCT,4314,Revenue,95
2019,7,Heavy Rail,263492,Revenue,96
2019,7,Regional Rail,115144,Revenue,97
2019,7,Trackless Trolley,13495,Revenue,98
2019,7,Trolley,71573,APC,99
2019,8,Bus,406865,APC,100
2019,8,CCT,5649,Revenue,101
2019,8,Heavy Rail,268150,Revenue,102
2020,8,Bus,189252,Revenue_Estimate,103
2019,8,Regional Rail,114436,Revenue,104
2019,8,Trackless Trolley,13285,Revenue,105
2019,8,Trolley,75874,APC,106
2019,9,Bus,501557,APC,107
2019,9,CCT,4933,Revenue,108
2019,9,Heavy Rail,321907,Revenue,109
2019,9,Regional Rail,138481,Revenue,110
2019,9,Trackless Trolley,16524,Revenue,111
2019,9,Trolley,80939,APC,112
2019,10,Bus,502857,APC,113
2019,10,CCT,4687,Revenue,114
2019,10,Heavy Rail,326562,Revenue,115
