block_group,hhld_nocar,hhld_single_mother,hhld_total,hhld_total_w_chld,pop_asiapacific,pop_black,pop_hispanic,pop_indig,pop_otherrace,pop_poverty,pop_total,pop_white,workers_all,workers_essential
250056001001,69,15,759,269,65,218,29,0,10,137,2252,1930,1107,533
250056001002,73,40,807,225,13,12,137,0,131,94,1732,1439,892,424
250056002021,16,119,1186,314,103,80,34,0,55,94,2871,2599,1647,810
250056002022,5,91,401,154,0,166,48,0,1,26,1051,836,479,249
250056002023,6,51,447,183,0,27,13,0,93,32,1166,1033,536,269
250056002031,1,8,580,289,65,28,10,0,30,4,1897,1764,874,388
250056002032,0,8,336,149,0,173,67,0,0,4,979,739,448,207
250056002033,2,110,1029,407,57,38,85,0,20,295,2966,2766,1466,685
250056002041,7,20,579,234,57,0,33,0,45,75,1656,1521,961,447
250056002042,9,67,735,325,86,154,74,0,67,32,2346,1965,1145,565
250056101001,78,15,679,199,81,0,0,0,62,50,1789,1646,983,485
250056101002,92,54,798,239,94,110,107,0,38,64,2009,1660,1113,542
250056101003,84,77,727,262,30,70,228,0,59,54,1766,1379,693,323
250056102021,26,5,644,218,36,0,75,0,66,0,1937,1760,1088,500
250056102022,19,29,471,162,84,20,0,0,20,38,1318,1194,654,303
250056102023,18,25,449,179,0,52,11,0,11,24,1200,1126,692,321
250056102024,12,11,308,132,0,71,0,0,11,110,944,862,533,246
250056102031,2,0,397,136,32,23,25,0,41,25,1279,1158,752,346
250056102032,2,0,388,123,18,123,0,0,39,0,1143,963,782,380
250056102033,8,0,1125,395,340,0,186,0,61,123,3147,2560,1351,632
250056102034,3,20,425,146,38,0,112,0,29,0,1299,1120,581,274
250056102041,35,40,637,392,138,0,120,0,0,18,2262,2004,1049,494
250056102042,43,112,789,236,149,114,9,0,44,132,1911,1595,953,452
250056102043,35,104,640,342,174,60,134,0,0,63,1757,1389,958,457
250056111011,32,98,1123,389,9,203,133,0,117,245,3412,2950,1645,799
250056111012,17,56,615,278,43,65,0,0,27,37,1787,1652,1079,521
250056111021,28,30,448,190,123,154,145,0,83,217,2899,2394,1291,630
250056111022,53,23,861,261,12,40,25,0,13,108,2512,2422,1112,495
250056112011,3,33,334,106,12,1,0,0,0,86,911,898,534,254
250056112012,7,21,677,260,34,54,82,0,0,136,1952,1782,1215,598
250056112021,23,49,1138,409,43,153,85,0,33,184,3306,2992,1610,801
250056112022,13,48,676,119,0,0,0,0,0,47,1618,1618,1096,514
250056112023,11,0,586,57,0,0,0,0,7,46,1237,1230,893,441
250056121001,16,36,355,172,10,22,42,0,13,33,1020,933,549,261
250056121002,43,23,961,377,71,50,106,0,80,315,2848,2541,1333,650
250056121003,13,12,302,62,15,0,0,0,22,10,788,751,581,268
250056122001,8,153,956,416,50,0,0,0,28,27,2862,2784,1313,638
250056122002,5,0,582,138,285,0,39,0,0,169,1399,1075,635,310
250056122003,10,38,1169,480,20,126,91,0,45,27,3404,3122,1607,747
250056122004,6,0,781,83,1,0,49,0,37,104,1689,1602,1158,564
250056131001,15,33,676,176,106,64,84,0,0,216,1591,1337,1017,499
250056131002,15,51,677,228,31,253,13,0,62,43,1733,1374,984,510
250056131003,19,13,839,185,126,19,23,0,0,199,2169,2001,840,443
250056131004,11,0,518,109,131,61,0,0,47,33,1291,1052,707,357
250056133001,47,58,724,195,0,0,127,0,0,111,1734,1607,845,417
250056133002,59,60,910,160,0,91,177,0,166,245,1969,1535,1163,584
250056133003,36,0,560,141,64,12,0,0,9,94,1617,1532,1017,508
250056133004,35,16,537,263,0,117,0,0,24,40,1648,1507,1136,576
250056134001,18,0,673,143,0,51,80,0,15,60,1837,1691,1361,679
250056134002,15,68,547,262,10,393,94,0,46,413,1786,1243,1013,525
250056136001,140,135,1035,318,129,18,303,0,68,308,2657,2139,994,538
250056136002,71,53,525,134,3,80,65,0,60,318,1337,1129,885,468
250056137001,91,81,1005,249,0,67,20,0,50,194,2226,2089,1282,667
250056137002,71,133,788,272,20,1,205,0,267,366,1982,1489,975,503
250056138001,96,0,357,205,0,90,0,0,103,168,987,794,313,169
250056138002,273,180,1008,416,0,181,276,0,459,979,2463,1547,851,477
250056138003,132,118,488,118,0,86,186,0,0,344,962,690,441,233
250056138004,95,16,353,52,0,62,193,0,49,25,680,376,562,302
250056139011,59,99,456,162,0,21,109,0,56,196,1180,994,753,411
250056139012,87,159,677,223,0,229,281,0,25,373,1363,828,828,454
250056139021,19,25,595,214,31,236,82,0,0,167,1778,1429,771,408
250056139022,22,71,712,218,0,101,116,0,123,95,1716,1376,1114,577
250056139023,19,37,622,187,8,45,67,13,26,208,1614,1455,862,458
250056140001,189,201,835,312,40,508,677,0,194,736,2123,704,1104,611
250056140002,222,156,977,310,0,337,530,0,76,770,2705,1762,1199,650
250056141011,121,172,1036,432,20,549,64,0,150,82,3120,2337,1590,848
250056141012,74,13,631,141,15,393,56,0,94,109,1625,1067,1001,515
250056141013,114,184,976,312,25,216,398,0,109,302,2386,1638,1166,633
250056141021,50,19,1043,65,27,85,33,0,0,400,2440,2295,1388,725
250056141022,31,55,646,287,0,204,54,0,113,34,2094,1723,1375,692
250056141023,36,116,758,359,28,44,164,0,148,133,2150,1766,1208,631
250056151001,4,0,389,91,0,0,0,0,15,17,920,905,630,313
250056151002,5,73,541,242,0,14,62,0,193,0,1816,1547,934,453
250056151003,5,58,573,154,44,113,0,0,20,54,1598,1421,812,403
250056151004,3,0,380,92,0,0,0,0,25,72,1088,1063,534,248
250056151005,8,19,826,261,0,82,3,0,61,102,2149,2003,1209,602
250056161001,5,0,784,225,0,6,5,0,24,0,2117,2082,1145,571
250056161002,6,0,950,350,0,0,0,0,151,90,2807,2656,1584,779
250056161003,4,23,608,270,1,0,0,0,0,35,1755,1754,990,485
250056171011,3,17,492,111,0,8,22,0,4,85,1228,1194,631,315
250056171012,2,14,308,169,0,0,0,0,0,154,1037,1037,453,237
250056171013,3,11,401,147,25,0,0,0,0,64,1071,1046,562,297
250056171014,3,8,531,161,0,1,117,0,0,12,1627,1509,753,408
250056171015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250056171021,16,17,713,271,23,0,53,0,123,56,2069,1870,879,454
250056171022,20,78,878,241,1,36,22,0,63,130,2219,2097,1175,590
250056301011,32,41,377,145,110,0,51,11,188,10,936,576,456,225
250056301012,75,85,892,209,270,42,367,0,40,546,1968,1249,1156,545
250056301021,28,75,591,160,99,33,72,0,0,131,1182,978,600,296
250056301022,19,28,408,97,14,0,12,0,0,85,895,869,474,223
250056301023,23,98,489,235,11,123,32,0,12,200,1271,1093,691,346
250056301024,19,19,404,78,0,0,81,0,17,15,944,846,591,302
250056302001,15,23,392,179,0,49,0,0,0,76,1011,962,555,271
250056302002,26,94,677,241,24,0,318,0,30,342,2060,1688,1078,513
250056302003,12,53,330,141,0,113,0,0,0,0,845,732,422,205
250056302004,14,42,370,188,0,0,322,0,0,188,1209,887,458,219
250056302005,34,9,896,460,202,0,0,0,25,48,2930,2703,1771,873
250056303001,32,0,614,296,131,52,0,0,0,74,1868,1685,1239,575
250056303002,67,113,1279,618,162,0,142,0,29,109,4102,3769,1984,950
250056303003,34,115,655,213,32,0,37,0,72,302,1740,1599,605,277
250056303004,24,9,459,120,0,15,43,0,24,3,1167,1085,740,337
250056304001,17,47,478,232,21,0,20,0,10,23,1386,1335,863,420
250056304002,16,21,466,218,47,0,69,0,41,40,1325,1168,931,445
250056304003,38,30,1077,233,342,78,39,0,79,184,2277,1739,956,464
250056311001,18,35,354,127,30,4,2,0,126,16,863,701,528,257
250056311002,12,16,242,75,0,0,0,0,0,79,611,611,308,146
250056311003,32,68,619,260,0,20,332,0,18,175,1508,1138,821,402
250056311004,21,0,417,56,0,0,49,0,0,137,772,723,625,309
250056311005,28,36,540,262,310,159,0,0,10,10,1666,1187,885,451
250056311006,34,21,652,89,0,2,26,0,0,33,1360,1332,647,336
250056311007,20,17,395,47,0,0,83,0,0,78,924,841,618,300
250056312001,23,0,488,191,0,13,0,0,55,0,1425,1357,607,300
250056312002,12,0,270,55,0,0,58,0,0,0,755,697,425,209
250056312003,32,106,696,229,121,33,299,0,29,397,1559,1077,741,370
250056312004,30,92,648,315,72,0,145,0,45,0,1985,1723,854,408
250056312005,35,8,754,276,240,48,162,0,25,33,2173,1698,1166,568
250056313001,31,28,691,206,126,17,0,0,30,17,1824,1651,937,472
250056313002,29,33,636,169,87,13,93,0,45,34,1523,1285,964,459
250056313003,32,13,710,179,16,0,169,0,13,138,1436,1238,911,445
250056314001,147,81,587,261,137,60,326,0,0,580,1771,1248,744,403
250056314002,143,0,570,87,65,13,199,13,33,158,1097,774,571,305
250056315001,14,95,771,253,29,389,93,0,0,293,1975,1464,1039,531
250056315002,7,54,391,118,0,0,22,0,0,32,1035,1013,540,262
250056316001,65,124,661,270,56,229,500,0,216,418,1921,920,792,401
250056316002,37,11,380,130,262,96,20,0,10,37,941,553,566,293
250056316003,41,19,412,109,18,21,184,0,10,74,1017,784,740,381
250056317001,27,60,365,163,0,13,192,0,48,388,1218,965,697,365
250056317002,40,66,547,141,0,99,53,0,0,91,1295,1143,949,471
250056317003,61,24,823,255,136,0,0,0,25,224,2295,2134,960,461
250056317004,50,13,679,277,35,0,137,0,12,15,2016,1832,979,479
250056318001,90,17,1338,187,75,45,50,0,95,289,2774,2509,1448,706
250056318002,26,20,388,195,69,0,20,0,58,0,1332,1185,819,410
250056318003,64,21,957,202,187,0,0,0,0,85,2242,2055,1265,614
250056318004,26,28,397,177,0,1,0,0,0,72,1235,1234,688,342
250056321001,6,0,518,175,133,0,0,0,0,0,1463,1330,769,387
250056321002,5,55,424,175,0,0,30,0,47,65,1154,1077,714,356
250056321003,4,37,319,63,0,0,134,0,0,86,771,637,470,237
250056321004,3,17,242,110,0,0,0,0,0,15,621,621,442,210
250056321005,4,0,333,134,13,0,0,0,17,0,897,867,529,246
250056321006,9,29,779,185,0,0,16,0,85,20,1923,1822,985,478
250056322001,42,21,575,260,0,0,0,0,26,0,1593,1567,752,379
250056322002,64,88,878,252,0,17,0,0,13,258,2213,2183,1110,565
250056322003,60,49,827,240,0,0,10,0,0,17,1863,1853,1245,624
250056322004,35,33,483,109,55,0,0,0,0,88,1268,1213,783,361
250056322005,45,45,626,206,0,38,33,0,43,176,1444,1330,692,348
250056331001,18,34,855,332,79,7,68,0,137,88,2735,2444,1484,740
250056331002,22,37,1053,400,27,0,194,0,37,105,2984,2726,1766,856
250056332001,13,28,1153,359,98,14,66,0,15,37,3164,2971,1864,913
