zone,date,description,score_key,value
boston-msa,2020-02-23,hhld_single_mother,C000_P_c45_AM_autoN_fareN,103524.99
boston-msa,2020-03-15,hhld_single_mother,C000_P_c45_AM_autoN_fareN,102222.35
boston-msa,2020-04-19,hhld_single_mother,C000_P_c45_AM_autoN_fareN,111604.87
boston-msa,2020-05-10,hhld_single_mother,C000_P_c45_AM_autoN_fareN,112885.34
boston-msa,2020-06-21,hhld_single_mother,C000_P_c45_AM_autoN_fareN,116094.36
boston-msa,2020-07-19,hhld_single_mother,C000_P_c45_AM_autoN_fareN,116474.695
boston-msa,2020-08-16,hhld_single_mother,C000_P_c45_AM_autoN_fareN,114890.88
boston-msa,2020-09-20,hhld_single_mother,C000_P_c45_AM_autoN_fareN,102516.875
boston-msa,2020-10-18,hhld_single_mother,C000_P_c45_AM_autoN_fareN,103732.88
boston-msa,2020-11-15,hhld_single_mother,C000_P_c45_AM_autoN_fareN,104327.84
boston-msa,2020-12-20,hhld_single_mother,C000_P_c45_AM_autoN_fareN,108638.48
boston-msa,2021-01-17,hhld_single_mother,C000_P_c45_AM_autoN_fareN,107466.24
boston-msa,2021-02-21,hhld_single_mother,C000_P_c45_AM_autoN_fareN,106068.56
boston-msa,2021-07-11,hhld_single_mother,C000_P_c45_AM_autoN_fareN,122862.14
boston-msa,2021-09-12,hhld_single_mother,C000_P_c45_AM_autoN_fareN,129820.69
boston-msa,2022-03-27,hhld_single_mother,C000_P_c45_AM_autoN_fareN,119043.445
boston-msa,2022-08-07,hhld_single_mother,C000_P_c45_AM_autoN_fareN,113165.625
boston-msa,2020-02-23,pop_asiapacific,C000_P_c45_AM_autoN_fareN,167556.58
boston-msa,2020-03-15,pop_asiapacific,C000_P_c45_AM_autoN_fareN,166190.77
boston-msa,2020-04-19,pop_asiapacific,C000_P_c45_AM_autoN_fareN,176692.34
boston-msa,2020-05-10,pop_asiapacific,C000_P_c45_AM_autoN_fareN,180817.64
boston-msa,2020-06-21,pop_asiapacific,C000_P_c45_AM_autoN_fareN,177331.86
boston-msa,2020-07-19,pop_asiapacific,C000_P_c45_AM_autoN_fareN,175625.16
boston-msa,2020-08-16,pop_asiapacific,C000_P_c45_AM_autoN_fareN,174800.38
boston-msa,2020-09-20,pop_asiapacific,C000_P_c45_AM_autoN_fareN,164728.81
boston-msa,2020-10-18,pop_asiapacific,C000_P_c45_AM_autoN_fareN,167439.86
boston-msa,2020-11-15,pop_asiapacific,C000_P_c45_AM_autoN_fareN,166501.2
boston-msa,2020-12-20,pop_asiapacific,C000_P_c45_AM_autoN_fareN,179582.44
boston-msa,2021-01-17,pop_asiapacific,C000_P_c45_AM_autoN_fareN,178415.69
boston-msa,2021-02-21,pop_asiapacific,C000_P_c45_AM_autoN_fareN,177211.72
boston-msa,2021-07-11,pop_asiapacific,C000_P_c45_AM_autoN_fareN,186888.61
boston-msa,2021-09-12,pop_asiapacific,C000_P_c45_AM_autoN_fareN,195000.27
boston-msa,2022-03-27,pop_asiapacific,C000_P_c45_AM_autoN_fareN,186617.22
boston-msa,2022-08-07,pop_asiapacific,C000_P_c45_AM_autoN_fareN,176019.5
boston-msa,2020-02-23,pop_black,C000_P_c45_AM_autoN_fareN,154871.17
boston-msa,2020-03-15,pop_black,C000_P_c45_AM_autoN_fareN,156797.67
boston-msa,2020-04-19,pop_black,C000_P_c45_AM_autoN_fareN,169554.22
boston-msa,2020-05-10,pop_black,C000_P_c45_AM_autoN_fareN,173713.81
boston-msa,2020-06-21,pop_black,C000_P_c45_AM_autoN_fareN,180224.66
boston-msa,2020-07-19,pop_black,C000_P_c45_AM_autoN_fareN,182275.0
boston-msa,2020-08-16,pop_black,C000_P_c45_AM_autoN_fareN,174828.19
boston-msa,2020-09-20,pop_black,C000_P_c45_AM_autoN_fareN,154451.84
boston-msa,2020-10-18,pop_black,C000_P_c45_AM_autoN_fareN,158870.73
boston-msa,2020-11-15,pop_black,C000_P_c45_AM_autoN_fareN,158610.88
boston-msa,2020-12-20,pop_black,C000_P_c45_AM_autoN_fareN,164842.4
boston-msa,2021-01-17,pop_black,C000_P_c45_AM_autoN_fareN,161576.42
boston-msa,2021-02-21,pop_black,C000_P_c45_AM_autoN_fareN,159650.5
boston-msa,2021-07-11,pop_black,C000_P_c45_AM_autoN_fareN,185415.72
boston-msa,2021-09-12,pop_black,C000_P_c45_AM_autoN_fareN,199672.95
boston-msa,2022-03-27,pop_black,C000_P_c45_AM_autoN_fareN,184014.78
boston-msa,2022-08-07,pop_black,C000_P_c45_AM_autoN_fareN,172673.56
boston-msa,2020-02-23,pop_hispanic,C000_P_c45_AM_autoN_fareN,156607.67
boston-msa,2020-03-15,pop_hispanic,C000_P_c45_AM_autoN_fareN,150668.4
boston-msa,2020-04-19,pop_hispanic,C000_P_c45_AM_autoN_fareN,170878.97
boston-msa,2020-05-10,pop_hispanic,C000_P_c45_AM_autoN_fareN,172422.28
boston-msa,2020-06-21,pop_hispanic,C000_P_c45_AM_autoN_fareN,175032.88
boston-msa,2020-07-19,pop_hispanic,C000_P_c45_AM_autoN_fareN,175605.12
boston-msa,2020-08-16,pop_hispanic,C000_P_c45_AM_autoN_fareN,173361.56
boston-msa,2020-09-20,pop_hispanic,C000_P_c45_AM_autoN_fareN,153276.55
boston-msa,2020-10-18,pop_hispanic,C000_P_c45_AM_autoN_fareN,154981.94
boston-msa,2020-11-15,pop_hispanic,C000_P_c45_AM_autoN_fareN,156315.67
boston-msa,2020-12-20,pop_hispanic,C000_P_c45_AM_autoN_fareN,161780.44
boston-msa,2021-01-17,pop_hispanic,C000_P_c45_AM_autoN_fareN,161676.56
boston-msa,2021-02-21,pop_hispanic,C000_P_c45_AM_autoN_fareN,160461.77
boston-msa,2021-07-11,pop_hispanic,C000_P_c45_AM_autoN_fareN,186061.05
boston-msa,2021-09-12,pop_hispanic,C000_P_c45_AM_autoN_fareN,191852.17
boston-msa,2022-03-27,pop_hispanic,C000_P_c45_AM_autoN_fareN,177813.58
